Our Name,taxon_id,Rank,Class,Order,Family,Genus,iNat Species,Iconic,iNat Common
Tokay Gecko,34615,species,Reptilia,Squamata,Gekkonidae,Gekko,Gekko gecko,Reptilia,Tokay Gecko
Eastern Chipmunk,46217,species,Mammalia,Rodentia,Sciuridae,Tamias,Tamias striatus,Mammalia,Eastern Chipmunk
Osprey,116999,species,Aves,Accipitriformes,Pandionidae,Pandion,Pandion haliaetus,Aves,Osprey
Brown Pelican,4328,species,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus occidentalis,Aves,Brown Pelican
Western Diamondback Rattlesnake,30764,,,,,,HTTP 429,,
Common Garter Snake,28362,species,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis sirtalis,Reptilia,Common Garter Snake
Eastern Copperhead,912622,,,,,,HTTP 429,,
Domestic Cat,118552,species,Mammalia,Carnivora,Felidae,Felis,Felis catus,Mammalia,Domestic Cat
Domestic Dog,47144,species,Mammalia,Carnivora,Canidae,Canis,Canis familiaris,Mammalia,Domestic Dog
Common Snapping Turtle,39682,,,,,,HTTP 429,,
Painted Turtle,39771,species,Reptilia,Testudines,Emydidae,Chrysemys,Chrysemys picta,Reptilia,Painted Turtle
Eastern Cottontail,43111,,,,,,HTTP 429,,
American Mink,1264432,species,Mammalia,Carnivora,Mustelidae,Neogale,Neogale vison,Mammalia,American Mink
Black-tailed Prairie Dog,46179,,,,,,HTTP 429,,
North American Porcupine,44026,species,Mammalia,Rodentia,Erethizontidae,Erethizon,Erethizon dorsatum,Mammalia,North American Porcupine
Jaguar,41970,,,,,,HTTP 429,,
Eastern Fox Squirrel,46020,species,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus niger,Mammalia,Eastern Fox Squirrel
American Red Squirrel,46260,,,,,,HTTP 429,,
Groundhog,46095,species,Mammalia,Rodentia,Sciuridae,Marmota,Marmota monax,Mammalia,Groundhog
Yellow-bellied Marmot,46086,,,,,,HTTP 429,,
Desert Tortoise,40086,species,Reptilia,Testudines,Testudinidae,Gopherus,Gopherus agassizii,Reptilia,Mojave Desert Tortoise
Rhesus Macaque,43460,,,,,,HTTP 429,,
American Badger,41789,species,Mammalia,Carnivora,Mustelidae,Taxidea,Taxidea taxus,Mammalia,American Badger
American Marten,41798,,,,,,HTTP 429,,
Ocelot,41997,species,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,Mammalia,Ocelot
Gemsbok,42308,,,,,,HTTP 429,,
Gray Fox,42076,species,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,Mammalia,Gray Fox
Black-footed Ferret,41809,,,,,,HTTP 429,,
Sea Otter,41860,species,Mammalia,Carnivora,Mustelidae,Enhydra,Enhydra lutris,Mammalia,Sea Otter
American Flamingo,73222,,,,,,HTTP 429,,
Green Anole,36514,species,Reptilia,Squamata,Anolidae,Anolis,Anolis carolinensis,Reptilia,Green Anole
Whooping Crane,34,,,,,,HTTP 429,,
Mountain Goat,42414,species,Mammalia,Artiodactyla,Bovidae,Oreamnos,Oreamnos americanus,Mammalia,Mountain Goat
Snowshoe Hare,43132,species,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus americanus,Mammalia,Snowshoe Hare
Mallard,6930,species,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,Aves,Mallard
